#,Cluster,DD Ref,Title,Priority,Status,Owner
1,General Corporate,I.A,Certificate of Incorporation & Bylaws,High,1. Not Started,
2,General Corporate,I.B,Board Minutes & Written Consents,High,1. Not Started,
3,General Corporate,I.C,Board Committee Charters & Policies,High,1. Not Started,
4,General Corporate,I.D,Jurisdictions & Qualified Locations,Medium,1. Not Started,
5,General Corporate,I.E,Good Standing Certificates,High,1. Not Started,
6,General Corporate,I.F,Equity Issuance Documents & Capital Stock History,High,1. Not Started,
7,General Corporate,I.G,Current & Former Directors and Officers,Medium,1. Not Started,
8,General Corporate,I.H,Subsidiaries & Corporate Org Structure,Medium,1. Not Started,
9,General Corporate,I.I,Subsidiary Corporate Information,Medium,1. Not Started,
10,General Corporate,I.J,Press Clippings & Releases,Low,1. Not Started,
11,General Corporate,I.K,Significant Events & M&A Approaches,High,1. Not Started,
12,Capital Stock & Securities,II.A,Stock Records & Stockholder List,High,1. Not Started,
13,Capital Stock & Securities,II.B,"Outstanding Options, SARs, Warrants, Convertibles",High,1. Not Started,
14,Capital Stock & Securities,II.C,Equity Incentive Plans & Forms,High,1. Not Started,
15,Capital Stock & Securities,II.D,Shareholder Agreements & Voting Rights,High,1. Not Started,
16,Capital Stock & Securities,II.E,Change of Control Agreements,High,1. Not Started,
17,Capital Stock & Securities,II.F,Other Securities Sales Agreements,Medium,1. Not Started,
18,Capital Stock & Securities,II.G,Securities Qualifications / Blue Sky,Low,1. Not Started,
19,Capital Stock & Securities,II.H,Securities Permits,Low,1. Not Started,
20,Capital Stock & Securities,II.I,Dividend Agreements,Low,1. Not Started,
21,Capital Stock & Securities,II.J,Recapitalizations & Restructurings,Medium,1. Not Started,
22,Capital Stock & Securities,II.K,Financing Transaction Documents,High,1. Not Started,
23,Acquisitions & Divestitures,III.A,Prior Acquisition/Divestiture Agreements,Medium,1. Not Started,
24,Acquisitions & Divestitures,III.B,Current Plans/Negotiations for Transactions,High,1. Not Started,
25,Acquisitions & Divestitures,III.C,No-Shop / Exclusivity / ROFR,High,1. Not Started,
26,Financial Information,IV.A,Financial Statements (3 Years),High,1. Not Started,
27,Financial Information,IV.B,Accounts Receivable & Aging,High,1. Not Started,
28,Financial Information,IV.C,Other Receivables,Medium,1. Not Started,
